Date;Day;Week;Month;Product;Division;Actual Cost ($);Target Overage vs Budget %;Allocated Budget ($);Variance ($);Variance %
2025-01-19;Sunday;Week 3;Month 1;Internal Data Platform;Business Analytics;$18,76;6,50%;$17,61;$1,14;6,50%
2025-01-19;Sunday;Week 3;Month 1;Internal Data Platform;Data Engineering;$2,67;7,50%;$2,48;$0,19;7,50%
2025-01-19;Sunday;Week 3;Month 1;Internal Data Platform;Platform / Cloud Operations;$29,05;8,00%;$26,90;$2,15;8,00%
2025-01-19;Sunday;Week 3;Month 1;Internal Data Platform;Product Engineering;$55,50;7,00%;$51,87;$3,63;7,00%
2025-01-20;Monday;Week 4;Month 1;AI Assistant;AI Engineering;$18,30;11,50%;$16,41;$1,89;11,50%
2025-01-20;Monday;Week 4;Month 1;AI Assistant;Business Analytics;$120,24;9,50%;$109,81;$10,43;9,50%
2025-01-20;Monday;Week 4;Month 1;AI Assistant;Data Engineering;$1,00;10,50%;$0,90;$0,09;10,50%
2025-01-20;Monday;Week 4;Month 1;AI Assistant;Platform / Cloud Operations;$1,31;11,00%;$1,18;$0,13;11,00%
2025-01-20;Monday;Week 4;Month 1;AI Assistant;Product Engineering;$128,41;10,00%;$116,74;$11,67;10,00%
2025-01-20;Monday;Week 4;Month 1;Analytics Platform;AI Engineering;$154,49;7,00%;$144,38;$10,11;7,00%
2025-01-20;Monday;Week 4;Month 1;Analytics Platform;Business Analytics;$4,82;5,00%;$4,59;$0,23;5,00%
2025-01-20;Monday;Week 4;Month 1;Analytics Platform;Data Engineering;$8,45;6,00%;$7,98;$0,48;6,00%
2025-01-20;Monday;Week 4;Month 1;Analytics Platform;Platform / Cloud Operations;$157,70;6,50%;$148,08;$9,62;6,50%
2025-01-20;Monday;Week 4;Month 1;Analytics Platform;Product Engineering;$94,84;5,50%;$89,89;$4,94;5,50%
2025-01-20;Monday;Week 4;Month 1;Customer App;AI Engineering;$119,82;5,50%;$113,57;$6,25;5,50%
2025-01-20;Monday;Week 4;Month 1;Customer App;Business Analytics;$8,15;3,50%;$7,87;$0,28;3,50%
2025-01-20;Monday;Week 4;Month 1;Customer App;Data Engineering;$18,89;4,50%;$18,07;$0,81;4,50%
2025-01-20;Monday;Week 4;Month 1;Customer App;Platform / Cloud Operations;$19,38;5,00%;$18,45;$0,92;5,00%
2025-01-20;Monday;Week 4;Month 1;Customer App;Product Engineering;$8,04;4,00%;$7,73;$0,31;4,00%
2025-01-20;Monday;Week 4;Month 1;Innovation Lab Projects;AI Engineering;$9,25;13,50%;$8,15;$1,10;13,50%
2025-01-20;Monday;Week 4;Month 1;Innovation Lab Projects;Business Analytics;$4,92;11,50%;$4,42;$0,51;11,50%
2025-01-20;Monday;Week 4;Month 1;Innovation Lab Projects;Data Engineering;$108,15;12,50%;$96,14;$12,02;12,50%
2025-01-20;Monday;Week 4;Month 1;Innovation Lab Projects;Platform / Cloud Operations;$5,75;13,00%;$5,09;$0,66;13,00%
2025-01-20;Monday;Week 4;Month 1;Innovation Lab Projects;Product Engineering;$74,71;12,00%;$66,71;$8,00;12,00%
2025-01-20;Monday;Week 4;Month 1;Internal Data Platform;AI Engineering;$8,94;8,50%;$8,24;$0,70;8,50%
2025-01-20;Monday;Week 4;Month 1;Internal Data Platform;Business Analytics;$116,52;6,50%;$109,41;$7,11;6,50%
2025-01-20;Monday;Week 4;Month 1;Internal Data Platform;Data Engineering;$0,49;7,50%;$0,46;$0,03;7,50%
2025-01-20;Monday;Week 4;Month 1;Internal Data Platform;Platform / Cloud Operations;$44,74;8,00%;$41,43;$3,31;8,00%
2025-01-20;Monday;Week 4;Month 1;Internal Data Platform;Product Engineering;$16,80;7,00%;$15,70;$1,10;7,00%
2025-01-21;Tuesday;Week 4;Month 1;AI Assistant;AI Engineering;$3,41;11,50%;$3,06;$0,35;11,50%
2025-01-21;Tuesday;Week 4;Month 1;AI Assistant;Business Analytics;$23,63;9,50%;$21,58;$2,05;9,50%
2025-01-21;Tuesday;Week 4;Month 1;AI Assistant;Data Engineering;$2,29;10,50%;$2,07;$0,22;10,50%
2025-01-21;Tuesday;Week 4;Month 1;AI Assistant;Platform / Cloud Operations;$194,41;11,00%;$175,15;$19,27;11,00%
2025-01-21;Tuesday;Week 4;Month 1;AI Assistant;Product Engineering;$22,47;10,00%;$20,43;$2,04;10,00%
2025-01-21;Tuesday;Week 4;Month 1;Analytics Platform;AI Engineering;$3,80;7,00%;$3,55;$0,25;7,00%
2025-01-21;Tuesday;Week 4;Month 1;Analytics Platform;Business Analytics;$2,55;5,00%;$2,43;$0,12;5,00%
2025-01-21;Tuesday;Week 4;Month 1;Analytics Platform;Data Engineering;$74,64;6,00%;$70,42;$4,23;6,00%
2025-01-21;Tuesday;Week 4;Month 1;Analytics Platform;Platform / Cloud Operations;$6,12;6,50%;$5,75;$0,37;6,50%
2025-01-21;Tuesday;Week 4;Month 1;Analytics Platform;Product Engineering;$15,51;5,50%;$14,70;$0,81;5,50%
2025-01-21;Tuesday;Week 4;Month 1;Customer App;AI Engineering;$7,10;5,50%;$6,73;$0,37;5,50%
2025-01-21;Tuesday;Week 4;Month 1;Customer App;Business Analytics;$23,79;3,50%;$22,99;$0,80;3,50%
2025-01-21;Tuesday;Week 4;Month 1;Customer App;Data Engineering;$28,03;4,50%;$26,82;$1,21;4,50%
2025-01-21;Tuesday;Week 4;Month 1;Customer App;Platform / Cloud Operations;$125,72;5,00%;$119,74;$5,99;5,00%
2025-01-21;Tuesday;Week 4;Month 1;Customer App;Product Engineering;$1,80;4,00%;$1,73;$0,07;4,00%
2025-01-21;Tuesday;Week 4;Month 1;Innovation Lab Projects;AI Engineering;$9,64;13,50%;$8,49;$1,15;13,50%
2025-01-21;Tuesday;Week 4;Month 1;Innovation Lab Projects;Business Analytics;$8,16;11,50%;$7,31;$0,84;11,50%
2025-01-21;Tuesday;Week 4;Month 1;Innovation Lab Projects;Data Engineering;$19,05;12,50%;$16,94;$2,12;12,50%
2025-01-21;Tuesday;Week 4;Month 1;Innovation Lab Projects;Platform / Cloud Operations;$154,70;13,00%;$136,90;$17,80;13,00%
2025-01-21;Tuesday;Week 4;Month 1;Innovation Lab Projects;Product Engineering;$41,94;12,00%;$37,44;$4,49;12,00%
2025-01-21;Tuesday;Week 4;Month 1;Internal Data Platform;AI Engineering;$18,91;8,50%;$17,43;$1,48;8,50%
2025-01-21;Tuesday;Week 4;Month 1;Internal Data Platform;Business Analytics;$123,60;6,50%;$116,06;$7,54;6,50%
2025-01-21;Tuesday;Week 4;Month 1;Internal Data Platform;Data Engineering;$2,20;7,50%;$2,05;$0,15;7,50%
2025-01-21;Tuesday;Week 4;Month 1;Internal Data Platform;Platform / Cloud Operations;$61,65;8,00%;$57,08;$4,57;8,00%
2025-01-21;Tuesday;Week 4;Month 1;Internal Data Platform;Product Engineering;$20,14;7,00%;$18,82;$1,32;7,00%
2025-01-22;Wednesday;Week 4;Month 1;AI Assistant;AI Engineering;$26,13;11,50%;$23,44;$2,70;11,50%
2025-01-22;Wednesday;Week 4;Month 1;AI Assistant;Business Analytics;$148,29;9,50%;$135,43;$12,87;9,50%
2025-01-22;Wednesday;Week 4;Month 1;AI Assistant;Data Engineering;$141,50;10,50%;$128,05;$13,45;10,50%
2025-01-22;Wednesday;Week 4;Month 1;AI Assistant;Platform / Cloud Operations;$7,13;11,00%;$6,43;$0,71;11,00%
2025-01-22;Wednesday;Week 4;Month 1;AI Assistant;Product Engineering;$63,48;10,00%;$57,71;$5,77;10,00%
2025-01-22;Wednesday;Week 4;Month 1;Analytics Platform;AI Engineering;$0,98;7,00%;$0,92;$0,06;7,00%
2025-01-22;Wednesday;Week 4;Month 1;Analytics Platform;Business Analytics;$7,22;5,00%;$6,88;$0,34;5,00%
2025-01-22;Wednesday;Week 4;Month 1;Analytics Platform;Data Engineering;$5,41;6,00%;$5,10;$0,31;6,00%
2025-01-22;Wednesday;Week 4;Month 1;Analytics Platform;Platform / Cloud Operations;$118,03;6,50%;$110,83;$7,20;6,50%
2025-01-22;Wednesday;Week 4;Month 1;Analytics Platform;Product Engineering;$27,56;5,50%;$26,13;$1,44;5,50%
2025-01-22;Wednesday;Week 4;Month 1;Customer App;AI Engineering;$69,06;5,50%;$65,46;$3,60;5,50%
2025-01-22;Wednesday;Week 4;Month 1;Customer App;Business Analytics;$26,71;3,50%;$25,81;$0,90;3,50%
2025-01-22;Wednesday;Week 4;Month 1;Customer App;Data Engineering;$7,04;4,50%;$6,73;$0,30;4,50%
2025-01-22;Wednesday;Week 4;Month 1;Customer App;Platform / Cloud Operations;$4,27;5,00%;$4,07;$0,20;5,00%
2025-01-22;Wednesday;Week 4;Month 1;Customer App;Product Engineering;$5,36;4,00%;$5,15;$0,21;4,00%
2025-01-22;Wednesday;Week 4;Month 1;Innovation Lab Projects;AI Engineering;$0,25;13,50%;$0,22;$0,03;13,50%
2025-01-22;Wednesday;Week 4;Month 1;Innovation Lab Projects;Business Analytics;$1,62;11,50%;$1,46;$0,17;11,50%
2025-01-22;Wednesday;Week 4;Month 1;Innovation Lab Projects;Data Engineering;$24,45;12,50%;$21,73;$2,72;12,50%
2025-01-22;Wednesday;Week 4;Month 1;Innovation Lab Projects;Platform / Cloud Operations;$6,06;13,00%;$5,36;$0,70;13,00%
2025-01-22;Wednesday;Week 4;Month 1;Innovation Lab Projects;Product Engineering;$157,09;12,00%;$140,26;$16,83;12,00%
2025-01-22;Wednesday;Week 4;Month 1;Internal Data Platform;AI Engineering;$25,17;8,50%;$23,19;$1,97;8,50%
2025-01-22;Wednesday;Week 4;Month 1;Internal Data Platform;Business Analytics;$26,35;6,50%;$24,75;$1,61;6,50%
2025-01-22;Wednesday;Week 4;Month 1;Internal Data Platform;Data Engineering;$1,99;7,50%;$1,85;$0,14;7,50%
2025-01-22;Wednesday;Week 4;Month 1;Internal Data Platform;Platform / Cloud Operations;$0,37;8,00%;$0,34;$0,03;8,00%
2025-01-22;Wednesday;Week 4;Month 1;Internal Data Platform;Product Engineering;$3,75;7,00%;$3,50;$0,25;7,00%
2025-01-23;Thursday;Week 4;Month 1;AI Assistant;AI Engineering;$9,01;11,50%;$8,08;$0,93;11,50%
2025-01-23;Thursday;Week 4;Month 1;AI Assistant;Business Analytics;$21,44;9,50%;$19,58;$1,86;9,50%
2025-01-23;Thursday;Week 4;Month 1;AI Assistant;Data Engineering;$190,03;10,50%;$171,98;$18,06;10,50%
2025-01-23;Thursday;Week 4;Month 1;AI Assistant;Platform / Cloud Operations;$3,09;11,00%;$2,78;$0,31;11,00%
2025-01-23;Thursday;Week 4;Month 1;AI Assistant;Product Engineering;$11,40;10,00%;$10,37;$1,04;10,00%
2025-01-23;Thursday;Week 4;Month 1;Analytics Platform;AI Engineering;$7,80;7,00%;$7,29;$0,51;7,00%
2025-01-23;Thursday;Week 4;Month 1;Analytics Platform;Business Analytics;$0,32;5,00%;$0,30;$0,02;5,00%
2025-01-23;Thursday;Week 4;Month 1;Analytics Platform;Data Engineering;$2,90;6,00%;$2,73;$0,16;6,00%
2025-01-23;Thursday;Week 4;Month 1;Analytics Platform;Platform / Cloud Operations;$25,49;6,50%;$23,94;$1,56;6,50%
2025-01-23;Thursday;Week 4;Month 1;Analytics Platform;Product Engineering;$8,80;5,50%;$8,34;$0,46;5,50%
2025-01-23;Thursday;Week 4;Month 1;Customer App;AI Engineering;$2,24;5,50%;$2,13;$0,12;5,50%
2025-01-23;Thursday;Week 4;Month 1;Customer App;Business Analytics;$181,04;3,50%;$174,92;$6,12;3,50%
2025-01-23;Thursday;Week 4;Month 1;Customer App;Data Engineering;$1,72;4,50%;$1,64;$0,07;4,50%
2025-01-23;Thursday;Week 4;Month 1;Customer App;Platform / Cloud Operations;$20,81;5,00%;$19,82;$0,99;5,00%
2025-01-23;Thursday;Week 4;Month 1;Customer App;Product Engineering;$16,08;4,00%;$15,46;$0,62;4,00%
2025-01-23;Thursday;Week 4;Month 1;Innovation Lab Projects;AI Engineering;$126,45;13,50%;$111,41;$15,04;13,50%
2025-01-23;Thursday;Week 4;Month 1;Innovation Lab Projects;Business Analytics;$12,01;11,50%;$10,77;$1,24;11,50%
2025-01-23;Thursday;Week 4;Month 1;Innovation Lab Projects;Data Engineering;$102,56;12,50%;$91,16;$11,40;12,50%
2025-01-23;Thursday;Week 4;Month 1;Innovation Lab Projects;Platform / Cloud Operations;$70,77;13,00%;$62,63;$8,14;13,00%
2025-01-23;Thursday;Week 4;Month 1;Innovation Lab Projects;Product Engineering;$6,23;12,00%;$5,56;$0,67;12,00%
2025-01-23;Thursday;Week 4;Month 1;Internal Data Platform;AI Engineering;$154,39;8,50%;$142,30;$12,10;8,50%
2025-01-23;Thursday;Week 4;Month 1;Internal Data Platform;Business Analytics;$193,69;6,50%;$181,87;$11,82;6,50%
2025-01-23;Thursday;Week 4;Month 1;Internal Data Platform;Data Engineering;$208,12;7,50%;$193,60;$14,52;7,50%
2025-01-23;Thursday;Week 4;Month 1;Internal Data Platform;Platform / Cloud Operations;$46,79;8,00%;$43,32;$3,47;8,00%
2025-01-23;Thursday;Week 4;Month 1;Internal Data Platform;Product Engineering;$4,25;7,00%;$3,97;$0,28;7,00%
2025-01-24;Friday;Week 4;Month 1;AI Assistant;AI Engineering;$12,23;11,50%;$10,97;$1,26;11,50%
2025-01-24;Friday;Week 4;Month 1;AI Assistant;Business Analytics;$119,41;9,50%;$109,05;$10,36;9,50%
2025-01-24;Friday;Week 4;Month 1;AI Assistant;Data Engineering;$3,69;10,50%;$3,34;$0,35;10,50%
2025-01-24;Friday;Week 4;Month 1;AI Assistant;Platform / Cloud Operations;$166,66;11,00%;$150,14;$16,52;11,00%
2025-01-24;Friday;Week 4;Month 1;AI Assistant;Product Engineering;$1,91;10,00%;$1,74;$0,17;10,00%
2025-01-24;Friday;Week 4;Month 1;Analytics Platform;AI Engineering;$10,82;7,00%;$10,11;$0,71;7,00%
2025-01-24;Friday;Week 4;Month 1;Analytics Platform;Business Analytics;$106,91;5,00%;$101,82;$5,09;5,00%
2025-01-24;Friday;Week 4;Month 1;Analytics Platform;Data Engineering;$190,70;6,00%;$179,90;$10,79;6,00%
2025-01-24;Friday;Week 4;Month 1;Analytics Platform;Platform / Cloud Operations;$205,46;6,50%;$192,92;$12,54;6,50%
2025-01-24;Friday;Week 4;Month 1;Analytics Platform;Product Engineering;$97,20;5,50%;$92,14;$5,07;5,50%
2025-01-24;Friday;Week 4;Month 1;Customer App;AI Engineering;$11,46;5,50%;$10,86;$0,60;5,50%
2025-01-24;Friday;Week 4;Month 1;Customer App;Business Analytics;$2,12;3,50%;$2,05;$0,07;3,50%
2025-01-24;Friday;Week 4;Month 1;Customer App;Data Engineering;$82,02;4,50%;$78,49;$3,53;4,50%
2025-01-24;Friday;Week 4;Month 1;Customer App;Platform / Cloud Operations;$8,46;5,00%;$8,06;$0,40;5,00%
2025-01-24;Friday;Week 4;Month 1;Customer App;Product Engineering;$149,07;4,00%;$143,33;$5,73;4,00%
2025-01-24;Friday;Week 4;Month 1;Innovation Lab Projects;AI Engineering;$5,38;13,50%;$4,74;$0,64;13,50%
2025-01-24;Friday;Week 4;Month 1;Innovation Lab Projects;Business Analytics;$2,21;11,50%;$1,98;$0,23;11,50%
2025-01-24;Friday;Week 4;Month 1;Innovation Lab Projects;Data Engineering;$20,16;12,50%;$17,92;$2,24;12,50%
2025-01-24;Friday;Week 4;Month 1;Innovation Lab Projects;Platform / Cloud Operations;$169,09;13,00%;$149,64;$19,45;13,00%
2025-01-24;Friday;Week 4;Month 1;Innovation Lab Projects;Product Engineering;$0,44;12,00%;$0,39;$0,05;12,00%
2025-01-24;Friday;Week 4;Month 1;Internal Data Platform;AI Engineering;$110,20;8,50%;$101,56;$8,63;8,50%
2025-01-24;Friday;Week 4;Month 1;Internal Data Platform;Business Analytics;$0,24;6,50%;$0,22;$0,01;6,50%
2025-01-24;Friday;Week 4;Month 1;Internal Data Platform;Data Engineering;$133,99;7,50%;$124,65;$9,35;7,50%
2025-01-24;Friday;Week 4;Month 1;Internal Data Platform;Platform / Cloud Operations;$16,56;8,00%;$15,33;$1,23;8,00%
2025-01-24;Friday;Week 4;Month 1;Internal Data Platform;Product Engineering;$57,63;7,00%;$53,86;$3,77;7,00%
2025-01-25;Saturday;Week 4;Month 1;AI Assistant;AI Engineering;$2,16;11,50%;$1,94;$0,22;11,50%
2025-01-25;Saturday;Week 4;Month 1;AI Assistant;Business Analytics;$11,05;9,50%;$10,09;$0,96;9,50%
2025-01-25;Saturday;Week 4;Month 1;AI Assistant;Data Engineering;$19,92;10,50%;$18,03;$1,89;10,50%
2025-01-25;Saturday;Week 4;Month 1;AI Assistant;Platform / Cloud Operations;$145,40;11,00%;$130,99;$14,41;11,00%
2025-01-25;Saturday;Week 4;Month 1;AI Assistant;Product Engineering;$4,94;10,00%;$4,49;$0,45;10,00%
2025-01-25;Saturday;Week 4;Month 1;Analytics Platform;AI Engineering;$79,53;7,00%;$74,33;$5,20;7,00%
2025-01-25;Saturday;Week 4;Month 1;Analytics Platform;Business Analytics;$9,20;5,00%;$8,76;$0,44;5,00%
2025-01-25;Saturday;Week 4;Month 1;Analytics Platform;Data Engineering;$85,13;6,00%;$80,31;$4,82;6,00%
2025-01-25;Saturday;Week 4;Month 1;Analytics Platform;Platform / Cloud Operations;$22,19;6,50%;$20,84;$1,35;6,50%
2025-01-25;Saturday;Week 4;Month 1;Analytics Platform;Product Engineering;$22,53;5,50%;$21,35;$1,17;5,50%
2025-01-25;Saturday;Week 4;Month 1;Customer App;AI Engineering;$9,23;5,50%;$8,75;$0,48;5,50%
2025-01-25;Saturday;Week 4;Month 1;Customer App;Business Analytics;$109,25;3,50%;$105,56;$3,69;3,50%
2025-01-25;Saturday;Week 4;Month 1;Customer App;Data Engineering;$79,94;4,50%;$76,49;$3,44;4,50%
2025-01-25;Saturday;Week 4;Month 1;Customer App;Platform / Cloud Operations;$157,12;5,00%;$149,64;$7,48;5,00%
2025-01-25;Saturday;Week 4;Month 1;Customer App;Product Engineering;$25,65;4,00%;$24,66;$0,99;4,00%
2025-01-25;Saturday;Week 4;Month 1;Innovation Lab Projects;AI Engineering;$180,99;13,50%;$159,46;$21,53;13,50%
2025-01-25;Saturday;Week 4;Month 1;Innovation Lab Projects;Business Analytics;$18,42;11,50%;$16,52;$1,90;11,50%
2025-01-25;Saturday;Week 4;Month 1;Innovation Lab Projects;Data Engineering;$21,96;12,50%;$19,52;$2,44;12,50%
2025-01-25;Saturday;Week 4;Month 1;Innovation Lab Projects;Platform / Cloud Operations;$0,32;13,00%;$0,29;$0,04;13,00%
2025-01-25;Saturday;Week 4;Month 1;Innovation Lab Projects;Product Engineering;$141,45;12,00%;$126,30;$15,16;12,00%
2025-01-25;Saturday;Week 4;Month 1;Internal Data Platform;AI Engineering;$4,28;8,50%;$3,95;$0,34;8,50%
2025-01-25;Saturday;Week 4;Month 1;Internal Data Platform;Business Analytics;$5,21;6,50%;$4,89;$0,32;6,50%
2025-01-25;Saturday;Week 4;Month 1;Internal Data Platform;Data Engineering;$110,10;7,50%;$102,42;$7,68;7,50%
2025-01-25;Saturday;Week 4;Month 1;Internal Data Platform;Platform / Cloud Operations;$88,95;8,00%;$82,36;$6,59;8,00%
2025-01-25;Saturday;Week 4;Month 1;Internal Data Platform;Product Engineering;$143,29;7,00%;$133,92;$9,37;7,00%
2025-01-26;Sunday;Week 4;Month 1;AI Assistant;AI Engineering;$3,91;11,50%;$3,51;$0,40;11,50%
2025-01-26;Sunday;Week 4;Month 1;AI Assistant;Business Analytics;$20,33;9,50%;$18,56;$1,76;9,50%
2025-01-26;Sunday;Week 4;Month 1;AI Assistant;Data Engineering;$75,11;10,50%;$67,97;$7,14;10,50%
2025-01-26;Sunday;Week 4;Month 1;AI Assistant;Platform / Cloud Operations;$14,86;11,00%;$13,39;$1,47;11,00%
2025-01-26;Sunday;Week 4;Month 1;AI Assistant;Product Engineering;$2,89;10,00%;$2,63;$0,26;10,00%
2025-01-26;Sunday;Week 4;Month 1;Analytics Platform;AI Engineering;$1,02;7,00%;$0,95;$0,07;7,00%
2025-01-26;Sunday;Week 4;Month 1;Analytics Platform;Business Analytics;$117,42;5,00%;$111,83;$5,59;5,00%
2025-01-26;Sunday;Week 4;Month 1;Analytics Platform;Data Engineering;$81,65;6,00%;$77,03;$4,62;6,00%
2025-01-26;Sunday;Week 4;Month 1;Analytics Platform;Platform / Cloud Operations;$1,61;6,50%;$1,51;$0,10;6,50%
2025-01-26;Sunday;Week 4;Month 1;Analytics Platform;Product Engineering;$0,81;5,50%;$0,77;$0,04;5,50%
2025-01-26;Sunday;Week 4;Month 1;Customer App;AI Engineering;$4,66;5,50%;$4,41;$0,24;5,50%
2025-01-26;Sunday;Week 4;Month 1;Customer App;Business Analytics;$24,54;3,50%;$23,71;$0,83;3,50%
2025-01-26;Sunday;Week 4;Month 1;Customer App;Data Engineering;$3,07;4,50%;$2,93;$0,13;4,50%
2025-01-26;Sunday;Week 4;Month 1;Customer App;Platform / Cloud Operations;$7,26;5,00%;$6,91;$0,35;5,00%
2025-01-26;Sunday;Week 4;Month 1;Customer App;Product Engineering;$14,24;4,00%;$13,70;$0,55;4,00%
2025-01-26;Sunday;Week 4;Month 1;Innovation Lab Projects;AI Engineering;$16,33;13,50%;$14,38;$1,94;13,50%
2025-01-26;Sunday;Week 4;Month 1;Innovation Lab Projects;Business Analytics;$190,13;11,50%;$170,52;$19,61;11,50%
2025-01-26;Sunday;Week 4;Month 1;Innovation Lab Projects;Data Engineering;$9,67;12,50%;$8,59;$1,07;12,50%
2025-01-26;Sunday;Week 4;Month 1;Innovation Lab Projects;Platform / Cloud Operations;$5,59;13,00%;$4,94;$0,64;13,00%
2025-01-26;Sunday;Week 4;Month 1;Innovation Lab Projects;Product Engineering;$37,93;12,00%;$33,87;$4,06;12,00%
2025-01-26;Sunday;Week 4;Month 1;Internal Data Platform;AI Engineering;$7,00;8,50%;$6,45;$0,55;8,50%
2025-01-26;Sunday;Week 4;Month 1;Internal Data Platform;Business Analytics;$5,86;6,50%;$5,50;$0,36;6,50%
2025-01-26;Sunday;Week 4;Month 1;Internal Data Platform;Data Engineering;$0,94;7,50%;$0,87;$0,07;7,50%
2025-01-26;Sunday;Week 4;Month 1;Internal Data Platform;Platform / Cloud Operations;$23,27;8,00%;$21,55;$1,72;8,00%
2025-01-26;Sunday;Week 4;Month 1;Internal Data Platform;Product Engineering;$4,91;7,00%;$4,59;$0,32;7,00%
2025-01-27;Monday;Week 5;Month 2;AI Assistant;AI Engineering;$194,31;11,50%;$174,27;$20,04;11,50%
2025-01-27;Monday;Week 5;Month 2;AI Assistant;Business Analytics;$138,78;9,50%;$126,74;$12,04;9,50%
2025-01-27;Monday;Week 5;Month 2;AI Assistant;Data Engineering;$21,34;10,50%;$19,31;$2,03;10,50%
2025-01-27;Monday;Week 5;Month 2;AI Assistant;Platform / Cloud Operations;$23,72;11,00%;$21,37;$2,35;11,00%
2025-01-27;Monday;Week 5;Month 2;AI Assistant;Product Engineering;$6,05;10,00%;$5,50;$0,55;10,00%
2025-01-27;Monday;Week 5;Month 2;Analytics Platform;AI Engineering;$141,08;7,00%;$131,85;$9,23;7,00%
2025-01-27;Monday;Week 5;Month 2;Analytics Platform;Business Analytics;$31,62;5,00%;$30,11;$1,51;5,00%
2025-01-27;Monday;Week 5;Month 2;Analytics Platform;Data Engineering;$113,13;6,00%;$106,72;$6,40;6,00%
2025-01-27;Monday;Week 5;Month 2;Analytics Platform;Platform / Cloud Operations;$9,02;6,50%;$8,47;$0,55;6,50%
2025-01-27;Monday;Week 5;Month 2;Analytics Platform;Product Engineering;$110,81;5,50%;$105,04;$5,78;5,50%
2025-01-27;Monday;Week 5;Month 2;Customer App;AI Engineering;$1,55;5,50%;$1,47;$0,08;5,50%
2025-01-27;Monday;Week 5;Month 2;Customer App;Business Analytics;$12,37;3,50%;$11,95;$0,42;3,50%
2025-01-27;Monday;Week 5;Month 2;Customer App;Data Engineering;$8,98;4,50%;$8,60;$0,39;4,50%
2025-01-27;Monday;Week 5;Month 2;Customer App;Platform / Cloud Operations;$59,62;5,00%;$56,78;$2,84;5,00%
2025-01-27;Monday;Week 5;Month 2;Customer App;Product Engineering;$49,28;4,00%;$47,39;$1,90;4,00%
2025-01-27;Monday;Week 5;Month 2;Innovation Lab Projects;AI Engineering;$3,54;13,50%;$3,11;$0,42;13,50%
2025-01-27;Monday;Week 5;Month 2;Innovation Lab Projects;Business Analytics;$25,32;11,50%;$22,71;$2,61;11,50%
2025-01-27;Monday;Week 5;Month 2;Innovation Lab Projects;Data Engineering;$25,81;12,50%;$22,94;$2,87;12,50%
2025-01-27;Monday;Week 5;Month 2;Innovation Lab Projects;Platform / Cloud Operations;$58,93;13,00%;$52,15;$6,78;13,00%
2025-01-27;Monday;Week 5;Month 2;Innovation Lab Projects;Product Engineering;$8,43;12,00%;$7,52;$0,90;12,00%
2025-01-27;Monday;Week 5;Month 2;Internal Data Platform;AI Engineering;$179,70;8,50%;$165,62;$14,08;8,50%
2025-01-27;Monday;Week 5;Month 2;Internal Data Platform;Business Analytics;$7,93;6,50%;$7,44;$0,48;6,50%
2025-01-27;Monday;Week 5;Month 2;Internal Data Platform;Data Engineering;$152,42;7,50%;$141,79;$10,63;7,50%
2025-01-27;Monday;Week 5;Month 2;Internal Data Platform;Platform / Cloud Operations;$5,71;8,00%;$5,28;$0,42;8,00%
2025-01-27;Monday;Week 5;Month 2;Internal Data Platform;Product Engineering;$24,11;7,00%;$22,53;$1,58;7,00%
2025-01-28;Tuesday;Week 5;Month 2;AI Assistant;AI Engineering;$1,66;11,50%;$1,49;$0,17;11,50%
2025-01-28;Tuesday;Week 5;Month 2;AI Assistant;Business Analytics;$1,97;9,50%;$1,79;$0,17;9,50%
2025-01-28;Tuesday;Week 5;Month 2;AI Assistant;Data Engineering;$16,71;10,50%;$15,12;$1,59;10,50%
2025-01-28;Tuesday;Week 5;Month 2;AI Assistant;Platform / Cloud Operations;$7,54;11,00%;$6,79;$0,75;11,00%
2025-01-28;Tuesday;Week 5;Month 2;AI Assistant;Product Engineering;$5,78;10,00%;$5,26;$0,53;10,00%
2025-01-28;Tuesday;Week 5;Month 2;Analytics Platform;AI Engineering;$1,91;7,00%;$1,79;$0,13;7,00%
2025-01-28;Tuesday;Week 5;Month 2;Analytics Platform;Business Analytics;$106,89;5,00%;$101,80;$5,09;5,00%
2025-01-28;Tuesday;Week 5;Month 2;Analytics Platform;Data Engineering;$184,42;6,00%;$173,98;$10,44;6,00%
2025-01-28;Tuesday;Week 5;Month 2;Analytics Platform;Platform / Cloud Operations;$43,91;6,50%;$41,23;$2,68;6,50%
2025-01-28;Tuesday;Week 5;Month 2;Analytics Platform;Product Engineering;$0,49;5,50%;$0,46;$0,03;5,50%
2025-01-28;Tuesday;Week 5;Month 2;Customer App;AI Engineering;$14,37;5,50%;$13,63;$0,75;5,50%
2025-01-28;Tuesday;Week 5;Month 2;Customer App;Business Analytics;$1,49;3,50%;$1,44;$0,05;3,50%
2025-01-28;Tuesday;Week 5;Month 2;Customer App;Data Engineering;$4,27;4,50%;$4,09;$0,18;4,50%
2025-01-28;Tuesday;Week 5;Month 2;Customer App;Platform / Cloud Operations;$33,81;5,00%;$32,20;$1,61;5,00%
2025-01-28;Tuesday;Week 5;Month 2;Customer App;Product Engineering;$111,85;4,00%;$107,55;$4,30;4,00%
2025-01-28;Tuesday;Week 5;Month 2;Innovation Lab Projects;AI Engineering;$1,99;13,50%;$1,76;$0,24;13,50%
2025-01-28;Tuesday;Week 5;Month 2;Innovation Lab Projects;Business Analytics;$17,97;11,50%;$16,11;$1,85;11,50%
